	Google Play Music	-$9.99		May 2022
	Pins	-$15		May 2022
	The Dawn of Everything	-$17		May 2022
	"Flee, Mortals!"	-$70		May 2022
	Patreon	-$14.00		May 2022
June 2022		-$333.94	¥0	
	Monthly budget	$200.00		June 2022
	Audible	-$14.95		June 2022
	Google Play Music	-$9.99		June 2022
	Netlify — domain registration	-$17		June 2022
	PHH	-$297		June 2022
	ひらやすみ1	-$5.15		June 2022
	ひらやすみ２	-$5.13		June 2022
	Dr. Pen & topical treatment	-$170.72		June 2022
	Patreon	-$14.00		June 2022
July 2022		$557.31	¥0	
	Monthly budget	$200.00		July 2022
	Audible	-$14.95		July 2022
	Google Play Music	-$9.99		July 2022
	PlayAsia — codes for Xenoblade 3	-$59.97		July 2022
	Dupin	-$15		July 2022
	Remembrance of Earth’s Past	-$28.78		July 2022
	The Atlantic	-$60		July 2022
	Marco Polo Plus	-$60		July 2022
	Sold further games	$520		July 2022
	Sold Ar tonelico books to the Dingo	$100		July 2022
	Patreon	-$14.00		July 2022
August 2022		$153.72	¥0	
	Monthly budget	$200.00		August 2022
	Audible	-$14.95		August 2022
	Google Play Music	-$9.99		August 2022
	Meshclass	-$7.34		August 2022
				August 2022
	Patreon	-$14.00		August 2022
September 2022		$156.17	¥0	
	Monthly budget	$200.00		September 2022
	Audible	-$14.95		September 2022
	Google Play Music	-$9.99		September 2022
	ひらやすみ（３） (ビッグコミックス)	-$4.89		September 2022
	Patreon	-$14.00		September 2022
October 2022		$151.06	¥0	
	Monthly budget	$200.00		October 2022
	Audible	-$14.95		October 2022
	Google Play Music	-$9.99		October 2022
	ひらやすみ（４） (ビッグコミックス)	-$4.71		October 2022
	メタモルフォーゼの縁側(1)	-$5.29		October 2022
	Patreon	-$14.00		October 2022
November 2022		$335.34	¥0	
	Monthly budget	$200.00		November 2022
	Audible	-$14.95		November 2022
	Google Play Music	-$9.99		November 2022
	Patreon	-$14.00		November 2022
	Sold books at Recycle	$185.00		November 2022
	メタモルフォーゼの縁側(2)	-$5.25		November 2022
	メタモルフォーゼの縁側(3)	-$5.47		November 2022
December 2022		$155.04	¥0	
	Monthly budget	$200.00		December 2022
	Audible	-$14.95		December 2022
	Google Play Music	-$9.99		December 2022
	メタモルフォーゼの縁側(4)	-$6.02		December 2022
	Patreon	-$14.00		December 2022
January 2023		$155.04	¥0	
	Monthly budget	$200.00		January 2023
	Audible	-$14.95		January 2023
	Google Play Music	-$9.99		January 2023
	メタモルフォーゼの縁側(5)	-$6.02		January 2023
	Patreon	-$14.00		January 2023
February 2023		$510.86	¥0	
	Patreon	-$14.00		February 2023
	Monthly budget	$200.00		February 2023
	Audible	-$14.95		February 2023
	Google Play Music	-$9.99		February 2023
	The Retro Fix EO trade-in	$350		February 2023
	違国日記（10）— must have used points	-$0.20		February 2023
March 2023		$161.06	¥0	
	Patreon	-$14.00		March 2023
	Monthly budget	$200.00		March 2023
	Audible	-$14.95		March 2023
	Google Play Music	-$9.99		March 2023
				March 2023
April 2023		$161.06	¥0	
	Patreon	-$14.00		April 2023
	Monthly budget	$200.00		April 2023
	Audible	-$14.95		April 2023
